Week,vaccine availability,covid,covid testing near me,fever,cough,loss of taste and smell,face masks,vaccine appointment,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-02-23,1.0,2,0,44.0,54.0,1.0,23.0,<1,US,United States of America,AMR,5.0,40,0.0,0
2020-03-01,0.0,5,<1,46.0,61.0,2.0,14.0,<1,US,United States of America,AMR,4.0,73,0.0,1
2020-03-08,1.0,20,<1,66.0,80.0,2.0,14.0,<1,US,United States of America,AMR,130.0,464,3.0,19
2020-03-15,2.0,54,2,100.0,100.0,11.0,23.0,<1,US,United States of America,AMR,968.0,3929,11.0,69
2020-03-22,0.0,64,2,83.0,86.0,100.0,33.0,0,US,United States of America,AMR,7559.0,31415,92.0,374
2020-03-29,0.0,68,2,70.0,69.0,48.0,100.0,0,US,United States of America,AMR,20344.0,126309,487.0,2106
2020-04-05,1.0,56,2,57.0,54.0,30.0,95.0,0,US,United States of America,AMR,32057.0,302460,1376.0,8748
2020-04-12,1.0,45,1,43.0,36.0,25.0,85.0,<1,US,United States of America,AMR,33179.0,521632,2241.0,22637
2020-04-19,0.0,42,2,39.0,34.0,20.0,82.0,<1,US,United States of America,AMR,30316.0,717782,2336.0,38535
2020-04-26,0.0,38,2,36.0,29.0,16.0,84.0,<1,US,United States of America,AMR,34778.0,922947,2103.0,53434
2020-05-03,0.0,37,3,33.0,25.0,13.0,73.0,<1,US,United States of America,AMR,33082.0,1121383,1953.0,67069
2020-05-10,0.0,37,3,34.0,24.0,12.0,64.0,0,US,United States of America,AMR,28833.0,1303629,1658.0,79827
2020-05-17,0.0,34,4,30.0,23.0,10.0,54.0,<1,US,United States of America,AMR,26628.0,1472661,1549.0,89957
2020-05-24,0.0,31,4,29.0,21.0,11.0,46.0,<1,US,United States of America,AMR,25963.0,1638986,1810.0,98515
2020-05-31,0.0,27,3,27.0,19.0,11.0,33.0,<1,US,United States of America,AMR,23741.0,1785422,1051.0,105325
