YEAR,WEEK,how to stop a cough,flu,home remedies for flu,flu symptoms,flu outbreak,cold vs flu,body aches no fever,sore throat and fever,where to get a flu shot,flu test near me,best flu medicine,TOTAL SPECIMENS,A (H3),A (2009 H1N1),A (Subtyping not Performed),B,H3N2v,BVic,BYam,A (H5),TOTAL,PERCENT POSITIVE
2020,7,57,28,86,53,8,41,25,42,7,7,51,5035,65,2052,129,280,0,744,10,0,3280,0.6514399205561072
2020,8,48,46,79,56,24,40,27,42,24,7,57,4344,76,1752,119,169,0,564,9,0,2689,0.6190147329650092
2020,9,50,57,79,67,35,49,31,48,32,7,51,3972,63,1667,50,141,0,454,8,0,2383,0.5999496475327291
2020,10,55,100,76,100,93,100,50,74,28,12,62,4156,73,1612,65,132,0,352,8,0,2242,0.539461020211742
2020,11,55,90,53,84,100,99,60,100,13,14,31,3615,74,1138,52,93,0,197,3,0,1557,0.4307053941908714
2020,12,46,66,52,46,44,40,50,71,0,7,18,2865,30,444,23,50,0,77,1,0,625,0.2181500872600349
2020,13,26,54,39,25,32,24,41,53,0,4,11,2150,7,100,8,34,0,20,2,0,171,0.0795348837209302
2020,14,24,40,30,18,25,15,39,40,0,0,7,1479,1,37,4,7,0,5,0,0,54,0.0365111561866125
2020,15,17,29,21,10,16,9,24,26,0,2,6,1024,0,28,3,4,0,0,0,0,35,0.0341796875
2020,16,14,29,10,9,12,6,20,21,0,3,3,887,0,19,0,3,0,2,0,0,24,0.0270574971815107
2020,17,16,23,12,8,10,5,14,22,0,2,5,826,0,26,0,4,0,0,0,0,30,0.036319612590799
2020,18,11,19,10,7,9,4,15,20,0,0,3,750,0,23,1,2,0,1,0,0,27,0.036
2020,19,14,19,12,7,9,4,13,22,0,2,0,661,1,26,0,2,0,0,0,0,29,0.0438729198184568
2020,20,12,16,0,6,7,4,12,17,0,0,4,688,0,24,0,3,0,0,0,0,27,0.0392441860465116
2020,21,9,15,10,6,5,3,10,18,0,0,3,555,0,0,1,0,0,0,0,0,1,0.0018018018018018
2020,22,8,6,0,5,3,3,11,16,0,0,3,533,0,2,1,1,0,0,0,0,4,0.0075046904315197
2020,23,8,7,0,5,3,4,12,17,0,2,5,362,0,0,0,2,0,0,0,0,2,0.005524861878453
2020,24,8,9,0,6,2,4,16,19,0,0,3,351,0,1,1,3,0,1,0,0,6,0.017094017094017
2020,25,7,12,0,7,3,5,28,23,0,4,5,401,0,0,0,0,0,0,0,0,0,0.0
2020,26,12,18,0,7,9,6,32,25,0,4,4,215,0,0,3,0,0,0,0,0,3,0.013953488372093
2020,27,15,13,13,7,5,6,27,25,0,3,5,201,0,0,0,0,1,0,0,0,1,0.0049751243781094
2020,28,18,15,10,7,5,4,24,28,0,4,4,265,0,0,1,1,0,0,0,0,2,0.0075471698113207
2020,29,11,14,0,6,5,5,18,30,0,4,5,258,0,0,0,0,0,0,0,0,0,0.0
2020,30,17,13,0,5,4,4,14,24,0,4,3,260,0,0,2,0,0,0,0,0,2,0.0076923076923076
2020,31,15,12,0,5,4,5,16,24,0,3,5,209,0,0,0,0,0,0,0,0,0,0.0
2020,32,8,12,0,5,3,4,12,21,10,3,6,186,0,0,0,0,0,0,0,0,0,0.0
2020,33,17,13,0,5,4,5,14,19,27,4,4,133,0,0,0,1,0,0,0,0,1,0.0075187969924812
2020,34,13,12,0,5,3,4,11,25,23,0,5,221,0,0,0,0,0,0,0,0,0,0.0
2020,35,13,14,0,6,3,5,19,23,38,5,5,2357,0,0,0,0,0,0,0,0,0,0.0
2020,36,13,18,9,7,3,6,21,23,59,5,9,2577,0,0,2,1,0,0,0,0,3,0.0011641443538998
2020,37,14,19,9,8,3,7,18,19,75,4,7,159,1,0,0,0,0,0,0,0,1,0.0062893081761006
2020,38,16,23,11,8,3,11,21,22,83,7,9,217,0,0,1,0,0,0,0,0,1,0.0046082949308755
2020,39,13,24,10,10,3,10,25,21,66,8,8,2801,0,0,1,0,0,0,0,0,1,0.0003570153516601
2020,40,17,29,0,12,5,12,25,24,100,8,11,11625,0,0,3,2,0,0,0,0,5,0.0004301075268817
2020,41,14,23,0,11,4,10,21,22,84,7,9,12238,2,3,3,5,0,1,0,0,14,0.0011439777741461
2020,42,16,23,11,11,3,12,28,22,78,7,9,11400,1,0,4,5,0,0,0,0,10,0.0008771929824561
2020,43,19,21,14,13,3,12,30,21,76,12,14,15744,1,1,11,4,0,0,0,0,17,0.0010797764227642
2020,44,19,13,13,9,2,11,23,19,41,11,11,20424,1,0,7,13,0,1,2,0,24,0.0011750881316098
2020,45,20,16,13,12,3,12,41,23,43,10,12,26500,1,0,6,9,0,0,0,0,16,0.0006037735849056
2020,46,23,20,22,13,3,17,37,27,46,18,13,25765,4,3,6,5,0,0,1,0,19,0.0007374345041723
2020,47,20,14,0,10,3,15,33,22,22,14,14,19256,3,0,0,2,0,0,2,0,7,0.0003635230577482
2020,48,19,15,17,12,2,23,38,18,26,13,10,11230,0,2,6,2,0,1,0,0,11,0.0009795191451469
2020,49,21,15,0,12,2,21,35,19,16,10,10,17684,0,0,5,4,0,2,3,0,14,0.000791676091382
2020,50,14,15,15,11,3,19,36,18,12,12,13,16500,3,3,8,1,0,2,0,0,17,0.001030303030303
2020,51,22,12,0,11,2,18,41,18,0,15,13,15179,0,0,5,4,0,0,0,0,9,0.0005929244350747
2020,52,18,13,34,12,3,16,46,21,10,10,14,12475,0,0,2,2,0,0,0,0,4,0.0003206412825651
2021,1,16,10,0,9,3,11,33,17,11,7,9,17564,2,0,6,3,0,1,0,0,12,0.0006832156684126
2021,2,14,10,0,9,3,11,30,15,8,8,7,15700,1,0,4,3,1,1,0,0,10,0.0006369426751592
2021,3,20,9,18,8,3,9,24,16,8,7,9,13900,1,0,2,1,0,0,0,0,4,0.0002877697841726
2021,4,21,8,0,8,3,7,26,16,0,7,8,13218,0,1,2,1,0,0,0,0,4,0.0003026176426085
2021,5,18,7,0,7,1,7,25,19,0,3,9,16294,0,0,4,3,0,0,0,0,7,0.0004296059899349
2021,6,16,6,12,6,2,7,20,15,0,4,9,17146,0,0,2,1,0,1,0,0,4,0.0002332905633967
2021,7,16,8,0,7,2,5,18,14,0,4,5,13415,0,0,3,1,0,0,1,0,5,0.0003727171077152
2021,8,18,7,0,6,2,5,22,16,0,4,7,16609,1,1,1,5,0,0,0,0,8,0.0004816665663194
2021,9,16,7,0,6,2,4,23,18,0,4,6,14811,0,0,2,0,0,0,0,0,2,0.0001350347714536
2021,10,15,6,12,6,2,5,20,15,0,4,8,16938,0,1,1,1,0,1,0,0,4,0.0002361553902467
2021,11,20,6,0,6,2,5,24,17,0,5,7,14622,1,0,4,2,0,0,0,0,7,0.0004787306797975
2021,12,25,6,0,7,1,6,23,19,8,4,9,14940,0,0,1,0,0,0,0,0,1,6.693440428380188e-05
2021,13,20,6,0,7,2,6,26,19,0,0,8,13875,0,0,5,1,0,0,0,0,6,0.0004324324324324
2021,14,26,7,14,7,2,7,25,17,0,6,11,14151,0,1,0,0,0,0,0,0,1,7.066638400113066e-05
2021,15,24,6,13,7,3,7,22,22,0,4,9,15543,1,1,3,2,0,0,0,0,7,0.0004503635076883
2021,16,31,6,0,6,3,5,25,23,0,2,10,12397,0,0,0,1,0,0,0,0,1,8.066467693796887e-05
2021,17,28,5,0,6,2,5,23,21,0,3,9,12801,0,0,1,0,0,0,0,0,1,7.81188969611749e-05
2021,18,28,6,0,6,2,5,22,22,0,4,11,10803,0,0,0,0,0,1,0,0,1,9.256687957048968e-05
2021,19,28,5,0,6,2,6,19,19,0,4,8,9396,0,0,0,0,0,0,0,0,0,0.0
2021,20,34,4,0,5,2,4,16,21,0,6,7,10065,0,0,1,0,0,5,0,0,6,0.0005961251862891
2021,21,29,10,13,7,5,6,18,21,0,4,8,8870,0,0,0,0,0,0,0,0,0,0.0
2021,22,31,4,18,5,2,5,16,24,0,4,8,6798,0,1,2,1,0,0,0,0,4,0.0005884083553986
2021,23,24,4,0,5,1,5,17,22,0,0,5,5627,0,0,2,0,0,0,0,0,2,0.0003554291807357
2021,24,31,4,0,5,1,5,18,21,0,3,8,5571,1,0,0,0,0,0,0,0,1,0.0001795009872554
2021,25,41,3,0,5,1,5,17,23,0,3,9,6290,0,1,0,0,0,1,0,0,2,0.0003179650238473
2021,26,30,4,12,5,1,7,23,28,0,4,8,7281,0,0,1,0,0,0,0,0,1,0.0001373437714599
2021,27,27,4,12,6,1,5,21,27,0,5,8,6687,1,1,2,1,0,0,0,0,5,0.0007477194556602
2021,28,32,5,12,6,2,6,27,28,0,6,10,8934,3,0,3,1,0,1,0,0,8,0.0008954555630176
2021,29,32,7,0,7,2,8,33,30,0,6,12,8550,2,0,0,0,0,0,0,0,2,0.0002339181286549
2021,30,37,8,12,8,3,7,32,31,0,7,14,9265,1,1,1,0,0,0,0,0,3,0.0003237992444684
2021,31,40,9,0,8,3,7,26,28,0,8,12,13519,2,0,3,0,0,0,0,0,5,0.0003698498409645
