Category: All categories

Week,flu symptoms: (United States)
2020-02-16,53
2020-02-23,56
2020-03-01,67
2020-03-08,100
2020-03-15,84
2020-03-22,46
2020-03-29,25
2020-04-05,18
2020-04-12,10
2020-04-19,9
2020-04-26,8
2020-05-03,7
2020-05-10,7
2020-05-17,6
2020-05-24,6
2020-05-31,5
2020-06-07,5
2020-06-14,6
2020-06-21,7
2020-06-28,7
2020-07-05,7
2020-07-12,7
2020-07-19,6
2020-07-26,5
2020-08-02,5
2020-08-09,5
2020-08-16,5
2020-08-23,5
2020-08-30,6
2020-09-06,7
2020-09-13,8
2020-09-20,8
2020-09-27,10
2020-10-04,12
2020-10-11,11
2020-10-18,11
2020-10-25,13
2020-11-01,9
2020-11-08,12
2020-11-15,13
2020-11-22,10
2020-11-29,12
2020-12-06,12
2020-12-13,11
2020-12-20,11
2020-12-27,12
2021-01-03,11
2021-01-10,9
2021-01-17,9
2021-01-24,8
2021-01-31,8
2021-02-07,7
2021-02-14,6
2021-02-21,7
2021-02-28,6
2021-03-07,6
2021-03-14,6
2021-03-21,6
2021-03-28,7
2021-04-04,7
2021-04-11,7
2021-04-18,7
2021-04-25,6
2021-05-02,6
2021-05-09,6
2021-05-16,6
2021-05-23,5
2021-05-30,7
2021-06-06,5
2021-06-13,5
2021-06-20,5
2021-06-27,5
2021-07-04,5
2021-07-11,6
2021-07-18,6
2021-07-25,7
2021-08-01,8
2021-08-08,8
2021-08-15,8
2021-08-22,8
2021-08-29,8
2021-09-05,9
2021-09-12,10
2021-09-19,10
2021-09-26,10
2021-10-03,11
2021-10-10,11
2021-10-17,11
2021-10-24,11
2021-10-31,13
2021-11-07,14
2021-11-14,15
2021-11-21,14
2021-11-28,18
2021-12-05,17
2021-12-12,23
2021-12-19,32
2021-12-26,42
2022-01-02,40
2022-01-09,29
2022-01-16,20
2022-01-23,12
2022-01-30,11
2022-02-06,9
2022-02-13,10
2022-02-20,10
2022-02-27,10
2022-03-06,11
2022-03-13,12
2022-03-20,13
2022-03-27,13
2022-04-03,14
2022-04-10,14
2022-04-17,14
2022-04-24,12
2022-05-01,13
2022-05-08,13
2022-05-15,12
2022-05-22,12
2022-05-29,11
2022-06-05,11
2022-06-12,9
2022-06-19,9
2022-06-26,8
2022-07-03,8
2022-07-10,8
2022-07-17,8
2022-07-24,7
2022-07-31,7
2022-08-07,7
2022-08-14,7
2022-08-21,9
2022-08-28,8
2022-09-04,9
2022-09-11,10
2022-09-18,10
2022-09-25,12
2022-10-02,13
2022-10-09,18
2022-10-16,23
2022-10-23,33
2022-10-30,42
2022-11-06,41
2022-11-13,43
2022-11-20,56
2022-11-27,58
2022-12-04,55
2022-12-11,57
2022-12-18,49
2022-12-25,43
2023-01-01,28
2023-01-08,20
2023-01-15,17
2023-01-22,14
2023-01-29,14
2023-02-05,14
2023-02-12,13
2023-02-19,13
2023-02-26,12
2023-03-05,11
2023-03-12,11
2023-03-19,11
2023-03-26,10
2023-04-02,9
2023-04-09,9
2023-04-16,8
2023-04-23,10
2023-04-30,7
2023-05-07,8
2023-05-14,7
2023-05-21,7
2023-05-28,7
2023-06-04,6
2023-06-11,6
2023-06-18,6
2023-06-25,6
2023-07-02,5
2023-07-09,5
2023-07-16,5
2023-07-23,6
2023-07-30,5
2023-08-06,6
2023-08-13,6
2023-08-20,8
2023-08-27,8
2023-09-03,9
2023-09-10,10
2023-09-17,11
2023-09-24,11
2023-10-01,12
2023-10-08,13
2023-10-15,13
2023-10-22,14
2023-10-29,14
2023-11-05,17
2023-11-12,18
2023-11-19,18
2023-11-26,23
2023-12-03,26
2023-12-10,33
2023-12-17,42
2023-12-24,45
2023-12-31,38
2024-01-07,30
2024-01-14,24
2024-01-21,26
2024-01-28,26
2024-02-04,25
2024-02-11,25
2024-02-18,24
2024-02-25,21
2024-03-03,18
2024-03-10,14
2024-03-17,14
2024-03-24,13
2024-03-31,14
2024-04-07,11
2024-04-14,10
2024-04-21,11
2024-04-28,10
2024-05-05,9
2024-05-12,9
2024-05-19,9
2024-05-26,9
2024-06-02,8
2024-06-09,8
2024-06-16,8
2024-06-23,7
2024-06-30,7
2024-07-07,7
2024-07-14,7
2024-07-21,7
2024-07-28,7
2024-08-04,7
2024-08-11,7
2024-08-18,8
2024-08-25,8
2024-09-01,9
2024-09-08,11
2024-09-15,10
2024-09-22,11
2024-09-29,11
2024-10-06,10
2024-10-13,12
2024-10-20,12
2024-10-27,12
2024-11-03,11
2024-11-10,14
2024-11-17,14
2024-11-24,14
2024-12-01,16
2024-12-08,19
2024-12-15,40
2024-12-22,50
2024-12-29,54
2025-01-05,41
2025-01-12,39
2025-01-19,47
2025-01-26,69
2025-02-02,74
2025-02-09,67
2025-02-16,53
