Category: All categories

Week,cold vs flu: (United States)
2020-02-16,41
2020-02-23,40
2020-03-01,49
2020-03-08,100
2020-03-15,99
2020-03-22,40
2020-03-29,24
2020-04-05,15
2020-04-12,9
2020-04-19,6
2020-04-26,5
2020-05-03,4
2020-05-10,4
2020-05-17,4
2020-05-24,3
2020-05-31,3
2020-06-07,4
2020-06-14,4
2020-06-21,5
2020-06-28,6
2020-07-05,6
2020-07-12,4
2020-07-19,5
2020-07-26,4
2020-08-02,5
2020-08-09,4
2020-08-16,5
2020-08-23,4
2020-08-30,5
2020-09-06,6
2020-09-13,7
2020-09-20,11
2020-09-27,10
2020-10-04,12
2020-10-11,10
2020-10-18,12
2020-10-25,12
2020-11-01,11
2020-11-08,12
2020-11-15,17
2020-11-22,15
2020-11-29,23
2020-12-06,21
2020-12-13,19
2020-12-20,18
2020-12-27,16
2021-01-03,13
2021-01-10,11
2021-01-17,11
2021-01-24,9
2021-01-31,7
2021-02-07,7
2021-02-14,7
2021-02-21,5
2021-02-28,5
2021-03-07,4
2021-03-14,5
2021-03-21,5
2021-03-28,6
2021-04-04,6
2021-04-11,7
2021-04-18,7
2021-04-25,5
2021-05-02,5
2021-05-09,5
2021-05-16,6
2021-05-23,4
2021-05-30,6
2021-06-06,5
2021-06-13,5
2021-06-20,5
2021-06-27,5
2021-07-04,7
2021-07-11,5
2021-07-18,6
2021-07-25,8
2021-08-01,7
2021-08-08,7
2021-08-15,7
2021-08-22,7
2021-08-29,9
2021-09-05,7
2021-09-12,9
2021-09-19,10
2021-09-26,9
2021-10-03,11
2021-10-10,11
2021-10-17,12
2021-10-24,13
2021-10-31,13
2021-11-07,16
2021-11-14,18
2021-11-21,15
2021-11-28,19
2021-12-05,17
2021-12-12,22
2021-12-19,30
2021-12-26,33
2022-01-02,36
2022-01-09,22
2022-01-16,14
2022-01-23,10
2022-01-30,6
2022-02-06,6
2022-02-13,6
2022-02-20,6
2022-02-27,6
2022-03-06,8
2022-03-13,8
2022-03-20,8
2022-03-27,9
2022-04-03,7
2022-04-10,9
2022-04-17,10
2022-04-24,9
2022-05-01,9
2022-05-08,9
2022-05-15,8
2022-05-22,8
2022-05-29,8
2022-06-05,5
2022-06-12,6
2022-06-19,6
2022-06-26,6
2022-07-03,6
2022-07-10,5
2022-07-17,4
2022-07-24,5
2022-07-31,5
2022-08-07,4
2022-08-14,6
2022-08-21,5
2022-08-28,6
2022-09-04,7
2022-09-11,8
2022-09-18,9
2022-09-25,9
2022-10-02,12
2022-10-09,12
2022-10-16,15
2022-10-23,16
2022-10-30,20
2022-11-06,21
2022-11-13,27
2022-11-20,34
2022-11-27,34
2022-12-04,32
2022-12-11,32
2022-12-18,33
2022-12-25,31
2023-01-01,19
2023-01-08,16
2023-01-15,12
2023-01-22,13
2023-01-29,13
2023-02-05,12
2023-02-12,12
2023-02-19,13
2023-02-26,8
2023-03-05,9
2023-03-12,9
2023-03-19,10
2023-03-26,9
2023-04-02,8
2023-04-09,6
2023-04-16,7
2023-04-23,6
2023-04-30,6
2023-05-07,6
2023-05-14,6
2023-05-21,5
2023-05-28,5
2023-06-04,6
2023-06-11,4
2023-06-18,6
2023-06-25,4
2023-07-02,4
2023-07-09,4
2023-07-16,4
2023-07-23,4
2023-07-30,5
2023-08-06,6
2023-08-13,5
2023-08-20,6
2023-08-27,8
2023-09-03,9
2023-09-10,11
2023-09-17,11
2023-09-24,12
2023-10-01,12
2023-10-08,14
2023-10-15,13
2023-10-22,12
2023-10-29,14
2023-11-05,14
2023-11-12,17
2023-11-19,14
2023-11-26,21
2023-12-03,19
2023-12-10,23
2023-12-17,27
2023-12-24,30
2023-12-31,27
2024-01-07,22
2024-01-14,20
2024-01-21,16
2024-01-28,15
2024-02-04,14
2024-02-11,15
2024-02-18,15
2024-02-25,14
2024-03-03,11
2024-03-10,10
2024-03-17,10
2024-03-24,9
2024-03-31,10
2024-04-07,7
2024-04-14,6
2024-04-21,8
2024-04-28,6
2024-05-05,6
2024-05-12,6
2024-05-19,6
2024-05-26,6
2024-06-02,5
2024-06-09,6
2024-06-16,4
2024-06-23,5
2024-06-30,4
2024-07-07,5
2024-07-14,4
2024-07-21,6
2024-07-28,6
2024-08-04,6
2024-08-11,5
2024-08-18,7
2024-08-25,7
2024-09-01,7
2024-09-08,8
2024-09-15,9
2024-09-22,10
2024-09-29,10
2024-10-06,9
2024-10-13,9
2024-10-20,12
2024-10-27,10
2024-11-03,11
2024-11-10,12
2024-11-17,13
2024-11-24,11
2024-12-01,16
2024-12-08,15
2024-12-15,19
2024-12-22,27
2024-12-29,26
2025-01-05,21
2025-01-12,19
2025-01-19,24
2025-01-26,28
2025-02-02,28
2025-02-09,29
2025-02-16,23
