Category: All categories

Week,best flu medicine: (United States)
2020-02-16,51
2020-02-23,57
2020-03-01,51
2020-03-08,62
2020-03-15,31
2020-03-22,18
2020-03-29,11
2020-04-05,7
2020-04-12,6
2020-04-19,3
2020-04-26,5
2020-05-03,3
2020-05-10,0
2020-05-17,4
2020-05-24,3
2020-05-31,3
2020-06-07,5
2020-06-14,3
2020-06-21,5
2020-06-28,4
2020-07-05,5
2020-07-12,4
2020-07-19,5
2020-07-26,3
2020-08-02,5
2020-08-09,6
2020-08-16,4
2020-08-23,5
2020-08-30,5
2020-09-06,9
2020-09-13,7
2020-09-20,9
2020-09-27,8
2020-10-04,11
2020-10-11,9
2020-10-18,9
2020-10-25,14
2020-11-01,11
2020-11-08,12
2020-11-15,13
2020-11-22,14
2020-11-29,10
2020-12-06,10
2020-12-13,13
2020-12-20,13
2020-12-27,14
2021-01-03,13
2021-01-10,9
2021-01-17,7
2021-01-24,9
2021-01-31,8
2021-02-07,9
2021-02-14,9
2021-02-21,5
2021-02-28,7
2021-03-07,6
2021-03-14,8
2021-03-21,7
2021-03-28,9
2021-04-04,8
2021-04-11,11
2021-04-18,9
2021-04-25,10
2021-05-02,9
2021-05-09,11
2021-05-16,8
2021-05-23,7
2021-05-30,8
2021-06-06,8
2021-06-13,5
2021-06-20,8
2021-06-27,9
2021-07-04,8
2021-07-11,8
2021-07-18,10
2021-07-25,12
2021-08-01,14
2021-08-08,12
2021-08-15,12
2021-08-22,12
2021-08-29,10
2021-09-05,12
2021-09-12,11
2021-09-19,13
2021-09-26,12
2021-10-03,15
2021-10-10,14
2021-10-17,16
2021-10-24,15
2021-10-31,20
2021-11-07,20
2021-11-14,25
2021-11-21,28
2021-11-28,29
2021-12-05,27
2021-12-12,33
2021-12-19,41
2021-12-26,57
2022-01-02,56
2022-01-09,41
2022-01-16,25
2022-01-23,17
2022-01-30,15
2022-02-06,15
2022-02-13,12
2022-02-20,15
2022-02-27,15
2022-03-06,13
2022-03-13,17
2022-03-20,17
2022-03-27,20
2022-04-03,19
2022-04-10,20
2022-04-17,18
2022-04-24,18
2022-05-01,14
2022-05-08,20
2022-05-15,17
2022-05-22,16
2022-05-29,18
2022-06-05,17
2022-06-12,16
2022-06-19,17
2022-06-26,13
2022-07-03,13
2022-07-10,11
2022-07-17,13
2022-07-24,12
2022-07-31,13
2022-08-07,10
2022-08-14,10
2022-08-21,14
2022-08-28,12
2022-09-04,15
2022-09-11,19
2022-09-18,15
2022-09-25,19
2022-10-02,21
2022-10-09,25
2022-10-16,29
2022-10-23,40
2022-10-30,59
2022-11-06,58
2022-11-13,54
2022-11-20,79
2022-11-27,80
2022-12-04,77
2022-12-11,81
2022-12-18,74
2022-12-25,66
2023-01-01,47
2023-01-08,27
2023-01-15,27
2023-01-22,25
2023-01-29,27
2023-02-05,26
2023-02-12,22
2023-02-19,21
2023-02-26,23
2023-03-05,20
2023-03-12,22
2023-03-19,22
2023-03-26,15
2023-04-02,13
2023-04-09,17
2023-04-16,13
2023-04-23,13
2023-04-30,14
2023-05-07,13
2023-05-14,12
2023-05-21,12
2023-05-28,11
2023-06-04,13
2023-06-11,9
2023-06-18,9
2023-06-25,8
2023-07-02,9
2023-07-09,10
2023-07-16,9
2023-07-23,8
2023-07-30,9
2023-08-06,10
2023-08-13,11
2023-08-20,17
2023-08-27,16
2023-09-03,22
2023-09-10,18
2023-09-17,21
2023-09-24,21
2023-10-01,20
2023-10-08,22
2023-10-15,26
2023-10-22,26
2023-10-29,27
2023-11-05,32
2023-11-12,34
2023-11-19,36
2023-11-26,38
2023-12-03,43
2023-12-10,52
2023-12-17,72
2023-12-24,83
2023-12-31,63
2024-01-07,47
2024-01-14,40
2024-01-21,44
2024-01-28,38
2024-02-04,45
2024-02-11,35
2024-02-18,43
2024-02-25,34
2024-03-03,31
2024-03-10,28
2024-03-17,27
2024-03-24,21
2024-03-31,18
2024-04-07,15
2024-04-14,16
2024-04-21,19
2024-04-28,13
2024-05-05,17
2024-05-12,13
2024-05-19,12
2024-05-26,14
2024-06-02,12
2024-06-09,13
2024-06-16,9
2024-06-23,11
2024-06-30,10
2024-07-07,13
2024-07-14,9
2024-07-21,10
2024-07-28,14
2024-08-04,10
2024-08-11,15
2024-08-18,16
2024-08-25,13
2024-09-01,15
2024-09-08,21
2024-09-15,18
2024-09-22,24
2024-09-29,17
2024-10-06,20
2024-10-13,20
2024-10-20,17
2024-10-27,22
2024-11-03,23
2024-11-10,25
2024-11-17,25
2024-11-24,33
2024-12-01,37
2024-12-08,30
2024-12-15,54
2024-12-22,79
2024-12-29,73
2025-01-05,54
2025-01-12,59
2025-01-19,68
2025-01-26,87
2025-02-02,100
2025-02-09,86
2025-02-16,68
