Category: All categories

Week,where to get a flu shot: (United States)
2020-02-16,7
2020-02-23,24
2020-03-01,32
2020-03-08,28
2020-03-15,13
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,0
2020-04-19,0
2020-04-26,0
2020-05-03,0
2020-05-10,0
2020-05-17,0
2020-05-24,0
2020-05-31,0
2020-06-07,0
2020-06-14,0
2020-06-21,0
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,0
2020-07-26,0
2020-08-02,0
2020-08-09,10
2020-08-16,27
2020-08-23,23
2020-08-30,38
2020-09-06,59
2020-09-13,75
2020-09-20,83
2020-09-27,66
2020-10-04,100
2020-10-11,84
2020-10-18,78
2020-10-25,76
2020-11-01,41
2020-11-08,43
2020-11-15,46
2020-11-22,22
2020-11-29,26
2020-12-06,16
2020-12-13,12
2020-12-20,0
2020-12-27,10
2021-01-03,13
2021-01-10,11
2021-01-17,8
2021-01-24,8
2021-01-31,0
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,0
2021-03-07,0
2021-03-14,0
2021-03-21,0
2021-03-28,8
2021-04-04,0
2021-04-11,0
2021-04-18,0
2021-04-25,0
2021-05-02,0
2021-05-09,0
2021-05-16,0
2021-05-23,0
2021-05-30,0
2021-06-06,0
2021-06-13,0
2021-06-20,0
2021-06-27,0
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,17
2021-09-12,18
2021-09-19,35
2021-09-26,41
2021-10-03,44
2021-10-10,47
2021-10-17,44
2021-10-24,41
2021-10-31,28
2021-11-07,37
2021-11-14,42
2021-11-21,25
2021-11-28,35
2021-12-05,20
2021-12-12,22
2021-12-19,17
2021-12-26,16
2022-01-02,23
2022-01-09,13
2022-01-16,0
2022-01-23,0
2022-01-30,0
2022-02-06,0
2022-02-13,0
2022-02-20,0
2022-02-27,0
2022-03-06,0
2022-03-13,0
2022-03-20,0
2022-03-27,0
2022-04-03,0
2022-04-10,0
2022-04-17,6
2022-04-24,0
2022-05-01,0
2022-05-08,0
2022-05-15,0
2022-05-22,0
2022-05-29,0
2022-06-05,0
2022-06-12,0
2022-06-19,0
2022-06-26,0
2022-07-03,0
2022-07-10,0
2022-07-17,0
2022-07-24,0
2022-07-31,0
2022-08-07,0
2022-08-14,0
2022-08-21,0
2022-08-28,0
2022-09-04,9
2022-09-11,12
2022-09-18,29
2022-09-25,24
2022-10-02,34
2022-10-09,46
2022-10-16,35
2022-10-23,65
2022-10-30,46
2022-11-06,35
2022-11-13,30
2022-11-20,21
2022-11-27,28
2022-12-04,28
2022-12-11,24
2022-12-18,12
2022-12-25,11
2023-01-01,12
2023-01-08,0
2023-01-15,0
2023-01-22,0
2023-01-29,0
2023-02-05,7
2023-02-12,0
2023-02-19,0
2023-02-26,0
2023-03-05,0
2023-03-12,0
2023-03-19,0
2023-03-26,0
2023-04-02,0
2023-04-09,0
2023-04-16,0
2023-04-23,0
2023-04-30,0
2023-05-07,0
2023-05-14,0
2023-05-21,13
2023-05-28,0
2023-06-04,0
2023-06-11,0
2023-06-18,0
2023-06-25,0
2023-07-02,0
2023-07-09,0
2023-07-16,0
2023-07-23,0
2023-07-30,0
2023-08-06,0
2023-08-13,0
2023-08-20,0
2023-08-27,10
2023-09-03,8
2023-09-10,14
2023-09-17,21
2023-09-24,27
2023-10-01,23
2023-10-08,26
2023-10-15,25
2023-10-22,19
2023-10-29,28
2023-11-05,23
2023-11-12,21
2023-11-19,18
2023-11-26,15
2023-12-03,12
2023-12-10,10
2023-12-17,13
2023-12-24,9
2023-12-31,8
2024-01-07,0
2024-01-14,0
2024-01-21,0
2024-01-28,0
2024-02-04,0
2024-02-11,0
2024-02-18,0
2024-02-25,0
2024-03-03,0
2024-03-10,0
2024-03-17,0
2024-03-24,0
2024-03-31,0
2024-04-07,0
2024-04-14,0
2024-04-21,0
2024-04-28,0
2024-05-05,0
2024-05-12,0
2024-05-19,0
2024-05-26,9
2024-06-02,0
2024-06-09,0
2024-06-16,0
2024-06-23,0
2024-06-30,0
2024-07-07,0
2024-07-14,0
2024-07-21,0
2024-07-28,0
2024-08-04,0
2024-08-11,9
2024-08-18,0
2024-08-25,8
2024-09-01,10
2024-09-08,12
2024-09-15,15
2024-09-22,21
2024-09-29,18
2024-10-06,23
2024-10-13,16
2024-10-20,17
2024-10-27,28
2024-11-03,17
2024-11-10,23
2024-11-17,19
2024-11-24,15
2024-12-01,13
2024-12-08,0
2024-12-15,13
2024-12-22,0
2024-12-29,9
2025-01-05,8
2025-01-12,14
2025-01-19,0
2025-01-26,15
2025-02-02,11
2025-02-09,11
2025-02-16,9
