Week,vaccine availability,covid,covid testing near me,fever,cough,loss of taste and smell,face masks,vaccine appointment
2020-02-16,,<1,,,,,,
2020-02-23,1.0,2,0,44.0,54.0,1.0,23.0,<1
2020-03-01,0.0,5,<1,46.0,61.0,2.0,14.0,<1
2020-03-08,1.0,20,<1,66.0,80.0,2.0,14.0,<1
2020-03-15,2.0,54,2,100.0,100.0,11.0,23.0,<1
2020-03-22,0.0,64,2,83.0,86.0,100.0,33.0,0
2020-03-29,0.0,68,2,70.0,69.0,48.0,100.0,0
2020-04-05,1.0,56,2,57.0,54.0,30.0,95.0,0
2020-04-12,1.0,45,1,43.0,36.0,25.0,85.0,<1
2020-04-19,0.0,42,2,39.0,34.0,20.0,82.0,<1
2020-04-26,0.0,38,2,36.0,29.0,16.0,84.0,<1
2020-05-03,0.0,37,3,33.0,25.0,13.0,73.0,<1
2020-05-10,0.0,37,3,34.0,24.0,12.0,64.0,0
2020-05-17,0.0,34,4,30.0,23.0,10.0,54.0,<1
2020-05-24,0.0,31,4,29.0,21.0,11.0,46.0,<1
2020-05-31,0.0,27,3,27.0,19.0,11.0,33.0,<1
2020-06-07,0.0,30,4,29.0,20.0,14.0,34.0,<1
2020-06-14,0.0,35,5,31.0,21.0,18.0,44.0,<1
2020-06-21,1.0,46,14,36.0,25.0,30.0,56.0,<1
2020-06-28,2.0,53,19,38.0,27.0,35.0,64.0,0
2020-07-05,1.0,54,22,41.0,26.0,41.0,64.0,<1
2020-07-12,3.0,54,17,39.0,28.0,36.0,69.0,<1
2020-07-19,3.0,50,11,39.0,27.0,31.0,54.0,<1
2020-07-26,2.0,49,10,36.0,26.0,27.0,47.0,<1
2020-08-02,2.0,41,11,31.0,26.0,21.0,42.0,<1
2020-08-09,3.0,37,9,32.0,24.0,18.0,40.0,<1
2020-08-16,4.0,34,7,30.0,22.0,18.0,31.0,<1
2020-08-23,2.0,31,6,29.0,21.0,16.0,27.0,<1
2020-08-30,3.0,31,8,28.0,23.0,18.0,24.0,<1
2020-09-06,3.0,28,8,29.0,22.0,17.0,21.0,<1
2020-09-13,3.0,27,8,29.0,23.0,17.0,18.0,<1
2020-09-20,2.0,28,9,31.0,25.0,19.0,17.0,<1
2020-09-27,3.0,36,10,31.0,25.0,23.0,17.0,<1
2020-10-04,2.0,38,13,34.0,30.0,21.0,18.0,<1
2020-10-11,2.0,31,13,31.0,29.0,24.0,16.0,<1
2020-10-18,3.0,36,15,32.0,29.0,30.0,17.0,<1
2020-10-25,2.0,40,17,31.0,30.0,31.0,16.0,<1
2020-11-01,1.0,32,18,28.0,26.0,32.0,11.0,<1
2020-11-08,8.0,54,29,34.0,32.0,58.0,16.0,<1
2020-11-15,10.0,71,38,37.0,34.0,68.0,17.0,<1
2020-11-22,7.0,51,32,33.0,33.0,68.0,14.0,<1
2020-11-29,8.0,50,26,32.0,33.0,60.0,14.0,<1
2020-12-06,15.0,56,28,35.0,32.0,61.0,13.0,<1
2020-12-13,19.0,57,29,34.0,33.0,63.0,10.0,1
2020-12-20,24.0,57,31,32.0,32.0,73.0,8.0,1
2020-12-27,40.0,60,32,37.0,36.0,73.0,9.0,4
2021-01-03,48.0,58,30,35.0,31.0,66.0,9.0,15
2021-01-10,81.0,65,22,31.0,30.0,46.0,10.0,43
2021-01-17,76.0,57,18,31.0,29.0,43.0,12.0,44
2021-01-24,72.0,55,15,30.0,28.0,37.0,14.0,45
2021-01-31,66.0,51,12,30.0,28.0,34.0,11.0,47
2021-02-07,69.0,48,11,29.0,27.0,27.0,11.0,58
2021-02-14,61.0,41,9,27.0,25.0,20.0,9.0,52
2021-02-21,67.0,46,9,28.0,25.0,21.0,9.0,52
2021-02-28,97.0,53,9,27.0,25.0,17.0,9.0,78
2021-03-07,100.0,56,8,29.0,26.0,16.0,7.0,96
2021-03-14,93.0,50,8,27.0,24.0,17.0,6.0,87
2021-03-21,96.0,50,10,30.0,28.0,18.0,8.0,88
2021-03-28,92.0,49,10,31.0,27.0,19.0,6.0,100
2021-04-04,69.0,50,10,34.0,31.0,21.0,6.0,88
2021-04-11,36.0,41,9,33.0,32.0,20.0,7.0,49
2021-04-18,24.0,36,9,34.0,32.0,17.0,7.0,29
2021-04-25,20.0,40,8,32.0,32.0,18.0,6.0,21
2021-05-02,15.0,34,7,31.0,31.0,16.0,5.0,17
2021-05-09,18.0,33,7,33.0,34.0,13.0,5.0,20
2021-05-16,12.0,29,6,30.0,34.0,13.0,5.0,15
2021-05-23,8.0,25,5,29.0,35.0,12.0,4.0,9
2021-05-30,8.0,20,5,29.0,35.0,12.0,4.0,7
2021-06-06,6.0,21,5,28.0,33.0,10.0,3.0,7
2021-06-13,6.0,20,4,29.0,36.0,11.0,3.0,6
2021-06-20,6.0,20,5,27.0,35.0,11.0,3.0,5
2021-06-27,5.0,19,5,28.0,36.0,11.0,3.0,4
2021-07-04,6.0,20,6,30.0,37.0,15.0,3.0,4
2021-07-11,6.0,24,7,31.0,40.0,17.0,3.0,5
2021-07-18,9.0,35,11,34.0,41.0,20.0,4.0,6
2021-07-25,10.0,43,16,35.0,42.0,26.0,8.0,7
2021-08-01,11.0,61,22,36.0,45.0,33.0,10.0,9
2021-08-08,11.0,56,25,38.0,45.0,40.0,11.0,8
2021-08-15,14.0,58,30,39.0,50.0,41.0,11.0,8
2021-08-22,14.0,61,31,40.0,48.0,41.0,11.0,9
2021-08-29,13.0,58,29,40.0,47.0,39.0,9.0,7
2021-09-05,13.0,49,27,39.0,48.0,35.0,7.0,6
2021-09-12,12.0,43,23,36.0,48.0,33.0,6.0,5
2021-09-19,10.0,37,20,35.0,48.0,32.0,6.0,7
2021-09-26,9.0,35,17,35.0,46.0,28.0,5.0,7
2021-10-03,9.0,31,17,35.0,47.0,29.0,5.0,7
2021-10-10,9.0,28,13,34.0,47.0,25.0,5.0,5
2021-10-17,12.0,26,12,33.0,47.0,24.0,5.0,8
2021-10-24,8.0,27,12,32.0,46.0,24.0,5.0,9
2021-10-31,10.0,30,12,34.0,51.0,24.0,4.0,12
2021-11-07,8.0,30,12,35.0,56.0,27.0,4.0,10
2021-11-14,9.0,31,13,35.0,57.0,31.0,4.0,10
2021-11-21,6.0,31,13,32.0,54.0,31.0,4.0,9
2021-11-28,10.0,38,16,36.0,56.0,34.0,5.0,16
2021-12-05,6.0,33,16,37.0,55.0,34.0,5.0,11
2021-12-12,6.0,44,23,41.0,58.0,35.0,5.0,11
2021-12-19,5.0,74,62,52.0,71.0,53.0,6.0,12
2021-12-26,4.0,99,100,70.0,87.0,76.0,9.0,13
2022-01-02,7.0,100,75,69.0,85.0,74.0,11.0,15
2022-01-09,5.0,77,48,61.0,75.0,59.0,11.0,9
2022-01-16,6.0,81,27,48.0,57.0,47.0,8.0,6
2022-01-23,3.0,42,15,38.0,51.0,32.0,6.0,4
2022-01-30,3.0,30,8,36.0,44.0,22.0,5.0,3
2022-02-06,2.0,26,6,32.0,42.0,17.0,5.0,3
2022-02-13,2.0,21,5,33.0,36.0,12.0,4.0,3
2022-02-20,2.0,19,4,30.0,40.0,9.0,3.0,2
2022-02-27,2.0,17,4,30.0,37.0,8.0,3.0,2
2022-03-06,2.0,15,3,29.0,39.0,8.0,3.0,1
2022-03-13,2.0,16,3,31.0,41.0,9.0,2.0,2
2022-03-20,1.0,15,3,32.0,42.0,8.0,2.0,1
2022-03-27,3.0,14,3,31.0,40.0,8.0,2.0,3
2022-04-03,3.0,15,3,34.0,44.0,9.0,2.0,3
2022-04-10,2.0,16,3,35.0,47.0,12.0,2.0,2
2022-04-17,2.0,15,3,35.0,45.0,11.0,4.0,2
2022-04-24,2.0,15,3,35.0,47.0,10.0,2.0,2
2022-05-01,1.0,16,4,38.0,46.0,12.0,2.0,2
2022-05-08,2.0,19,4,39.0,49.0,13.0,2.0,2
2022-05-15,3.0,22,4,40.0,52.0,14.0,2.0,2
2022-05-22,2.0,20,4,38.0,52.0,13.0,2.0,2
2022-05-29,0.0,19,4,41.0,52.0,14.0,2.0,2
2022-06-05,2.0,18,4,38.0,48.0,13.0,2.0,2
2022-06-12,2.0,18,3,36.0,47.0,14.0,2.0,2
2022-06-19,3.0,18,4,38.0,48.0,15.0,2.0,3
2022-06-26,3.0,18,4,38.0,45.0,14.0,2.0,2
2022-07-03,3.0,19,4,39.0,40.0,15.0,2.0,2
