Week,how to stop a cough,flu,home remedies for flu,flu symptoms,flu outbreak,cold vs flu,body aches no fever,sore throat and fever,where to get a flu shot,flu test near me,best flu medicine
2020-02-16,57,28,86,53,8,41,25,42,7,7,51
2020-02-23,48,46,79,56,24,40,27,42,24,7,57
2020-03-01,50,57,79,67,35,49,31,48,32,7,51
2020-03-08,55,100,76,100,93,100,50,74,28,12,62
2020-03-15,55,90,53,84,100,99,60,100,13,14,31
2020-03-22,46,66,52,46,44,40,50,71,0,7,18
2020-03-29,26,54,39,25,32,24,41,53,0,4,11
2020-04-05,24,40,30,18,25,15,39,40,0,0,7
2020-04-12,17,29,21,10,16,9,24,26,0,2,6
2020-04-19,14,29,10,9,12,6,20,21,0,3,3
2020-04-26,16,23,12,8,10,5,14,22,0,2,5
2020-05-03,11,19,10,7,9,4,15,20,0,0,3
2020-05-10,14,19,12,7,9,4,13,22,0,2,0
2020-05-17,12,16,0,6,7,4,12,17,0,0,4
2020-05-24,9,15,10,6,5,3,10,18,0,0,3
2020-05-31,8,6,0,5,3,3,11,16,0,0,3
2020-06-07,8,7,0,5,3,4,12,17,0,2,5
2020-06-14,8,9,0,6,2,4,16,19,0,0,3
2020-06-21,7,12,0,7,3,5,28,23,0,4,5
2020-06-28,12,18,0,7,9,6,32,25,0,4,4
2020-07-05,15,13,13,7,5,6,27,25,0,3,5
2020-07-12,18,15,10,7,5,4,24,28,0,4,4
2020-07-19,11,14,0,6,5,5,18,30,0,4,5
2020-07-26,17,13,0,5,4,4,14,24,0,4,3
2020-08-02,15,12,0,5,4,5,16,24,0,3,5
2020-08-09,8,12,0,5,3,4,12,21,10,3,6
2020-08-16,17,13,0,5,4,5,14,19,27,4,4
2020-08-23,13,12,0,5,3,4,11,25,23,0,5
2020-08-30,13,14,0,6,3,5,19,23,38,5,5
2020-09-06,13,18,9,7,3,6,21,23,59,5,9
2020-09-13,14,19,9,8,3,7,18,19,75,4,7
2020-09-20,16,23,11,8,3,11,21,22,83,7,9
2020-09-27,13,24,10,10,3,10,25,21,66,8,8
2020-10-04,17,29,0,12,5,12,25,24,100,8,11
2020-10-11,14,23,0,11,4,10,21,22,84,7,9
2020-10-18,16,23,11,11,3,12,28,22,78,7,9
2020-10-25,19,21,14,13,3,12,30,21,76,12,14
2020-11-01,19,13,13,9,2,11,23,19,41,11,11
2020-11-08,20,16,13,12,3,12,41,23,43,10,12
2020-11-15,23,20,22,13,3,17,37,27,46,18,13
2020-11-22,20,14,0,10,3,15,33,22,22,14,14
2020-11-29,19,15,17,12,2,23,38,18,26,13,10
2020-12-06,21,15,0,12,2,21,35,19,16,10,10
2020-12-13,14,15,15,11,3,19,36,18,12,12,13
2020-12-20,22,12,0,11,2,18,41,18,0,15,13
2020-12-27,18,13,34,12,3,16,46,21,10,10,14
2021-01-03,18,11,17,11,3,13,30,18,13,12,13
2021-01-10,16,10,0,9,3,11,33,17,11,7,9
2021-01-17,14,10,0,9,3,11,30,15,8,8,7
2021-01-24,20,9,18,8,3,9,24,16,8,7,9
2021-01-31,21,8,0,8,3,7,26,16,0,7,8
2021-02-07,18,7,0,7,1,7,25,19,0,3,9
2021-02-14,16,6,12,6,2,7,20,15,0,4,9
2021-02-21,16,8,0,7,2,5,18,14,0,4,5
2021-02-28,18,7,0,6,2,5,22,16,0,4,7
2021-03-07,16,7,0,6,2,4,23,18,0,4,6
2021-03-14,15,6,12,6,2,5,20,15,0,4,8
2021-03-21,20,6,0,6,2,5,24,17,0,5,7
2021-03-28,25,6,0,7,1,6,23,19,8,4,9
2021-04-04,20,6,0,7,2,6,26,19,0,0,8
2021-04-11,26,7,14,7,2,7,25,17,0,6,11
2021-04-18,24,6,13,7,3,7,22,22,0,4,9
2021-04-25,31,6,0,6,3,5,25,23,0,2,10
2021-05-02,28,5,0,6,2,5,23,21,0,3,9
2021-05-09,28,6,0,6,2,5,22,22,0,4,11
2021-05-16,28,5,0,6,2,6,19,19,0,4,8
2021-05-23,34,4,0,5,2,4,16,21,0,6,7
2021-05-30,29,10,13,7,5,6,18,21,0,4,8
2021-06-06,31,4,18,5,2,5,16,24,0,4,8
2021-06-13,24,4,0,5,1,5,17,22,0,0,5
2021-06-20,31,4,0,5,1,5,18,21,0,3,8
2021-06-27,41,3,0,5,1,5,17,23,0,3,9
2021-07-04,30,4,12,5,1,7,23,28,0,4,8
2021-07-11,27,4,12,6,1,5,21,27,0,5,8
2021-07-18,32,5,12,6,2,6,27,28,0,6,10
2021-07-25,32,7,0,7,2,8,33,30,0,6,12
2021-08-01,37,8,12,8,3,7,32,31,0,7,14
2021-08-08,40,9,0,8,3,7,26,28,0,8,12
2021-08-15,37,9,12,8,3,7,34,33,0,9,12
2021-08-22,32,10,13,8,2,7,35,34,0,12,12
2021-08-29,40,9,16,8,2,9,28,32,0,11,10
2021-09-05,44,12,0,9,2,7,32,31,17,13,12
2021-09-12,43,13,12,10,3,9,32,32,18,13,11
2021-09-19,41,16,15,10,2,10,24,30,35,13,13
